CountryName,Year,Unemployment Rate,Corruption Index,Inflation,GDP,,,,,,,,
Austria,2007,4.4,,2.2,3.7,,,,,,,,
Austria,2008,3.8,8.1,3.2,1.1,,,,,,,,
Austria,2009,4.8,7.9,0.4,-3.5,,,,,,,,
Austria,2010,4.4,7.9,1.7,2.2,,,,,,,,
Austria,2011,4.1,7.8,3.6,2.7,,,,,,,,
Austria,2012,4.4,6.9,2.4,0.6,,,,,,,,
Austria,2013,4.7,,1.9,0.8,,,,,,,,
Austria,2014,4.7,,1.6,1.8,,,,,,,,
Belgium,2007,7.5,,1.8,2.9,,,,,,,,
Belgium,2008,7,7.3,4.5,1,,,,,,,,
Belgium,2009,7.9,7.1,0,-2.7,,,,,,,,
Belgium,2010,8.3,7.1,2.3,2.4,,,,,,,,
Belgium,2011,7.2,7.5,3.5,1.8,,,,,,,,
Belgium,2012,7.4,7.5,2.6,-0.1,,,,,,,,
Belgium,2013,7.7,,1.8,0.5,,,,,,,,
Belgium,2014,7.7,,1.6,1.6,,,,,,,,
Czech Republic,2007,5.3,,3,5.7,,,,,,,,
Czech Republic,2008,4.4,5.2,6.3,3.1,,,,,,,,
Czech Republic,2009,6.7,4.9,1,-4.5,,,,,,,,
Czech Republic,2010,7.3,4.6,1.5,2.5,,,,,,,,
Czech Republic,2011,6.7,4.4,1.9,1.9,,,,,,,,
Czech Republic,2012,6.9,5.2,3.2,-0.9,,,,,,,,
Czech Republic,2013,7.2,,2,0.8,,,,,,,,
Czech Republic,2014,7.1,,2.1,2.4,,,,,,,,
Denmark,2007,3.7,,1.7,1.6,,,,,,,,
Denmark,2008,3.3,9.3,3.4,-0.8,,,,,,,,
Denmark,2009,5.8,9.3,1.3,-5.7,,,,,,,,
Denmark,2010,7.2,9.3,2.3,1.6,,,,,,,,
Denmark,2011,7.3,9.4,2.8,1.1,,,,,,,,
Denmark,2012,7.5,9.0,2.4,0.2,,,,,,,,
Denmark,2013,7.4,,1.8,1.4,,,,,,,,
Denmark,2014,7.3,,2,1.7,,,,,,,,
Finland,2007,6.9,,1.6,5.3,,,,,,,,
Finland,2008,6.4,9.0,3.9,0.3,,,,,,,,
Finland,2009,8.3,8.9,1.6,-8.5,,,,,,,,
Finland,2010,8.4,9.2,1.7,3.3,,,,,,,,
Finland,2011,7.8,9.4,3.3,2.7,,,,,,,,
Finland,2012,7.7,9.0,3.1,0.7,,,,,,,,
Finland,2013,8,,2.7,1.1,,,,,,,,
Finland,2014,7.8,,2.3,2.2,,,,,,,,
France,2007,8,,1.6,2.2,,,,,,,,
France,2008,7.4,6.9,3.2,-0.2,,,,,,,,
France,2009,9.1,6.9,0.1,-3.1,,,,,,,,
France,2010,9.3,6.8,1.7,1.6,,,,,,,,
France,2011,9.2,7.0,2.3,1.7,,,,,,,,
France,2012,9.9,7.1,2.2,0.2,,,,,,,,
France,2013,10.7,,1.3,0.3,,,,,,,,
France,2014,10.9,,1.2,1.3,,,,,,,,
Germany,2007,8.3,,2.3,3.4,,,,,,,,
Germany,2008,7.2,7.9,2.8,0.8,,,,,,,,
Germany,2009,7.4,8.0,0.2,-5.1,,,,,,,,
Germany,2010,6.8,7.9,1.2,4,,,,,,,,
Germany,2011,5.8,8.0,2.5,3.1,,,,,,,,
Germany,2012,5.3,7.9,2.1,0.9,,,,,,,,
Germany,2013,5.5,,1.9,0.6,,,,,,,,
Germany,2014,5.6,,2,1.9,,,,,,,,
Greece,2007,8.3,,3,3.5,,,,,,,,
Greece,2008,7.7,4.7,4.2,-0.2,,,,,,,,
Greece,2009,9.5,3.8,1.3,-3.1,,,,,,,,
Greece,2010,12.5,3.5,4.7,-4.9,,,,,,,,
Greece,2011,17.7,3.4,3.1,-7.1,,,,,,,,
Greece,2012,23.6,3.6,1,-6.3,,,,,,,,
Greece,2013,26.7,,-0.2,-4.5,,,,,,,,
Greece,2014,27.2,,-0.8,-1.3,,,,,,,,
Hungary,2007,7.4,,8,0.1,,,,,,,,
Hungary,2008,7.9,5.1,6,0.9,,,,,,,,
Hungary,2009,10,5.1,4.2,-6.8,,,,,,,,
Hungary,2010,11.1,4.7,4.9,1.3,,,,,,,,
Hungary,2011,10.9,4.6,3.9,1.6,,,,,,,,
Hungary,2012,11.1,5.5,5.8,-1.6,,,,,,,,
Hungary,2013,11.1,,4.8,-0.1,,,,,,,,
Hungary,2014,10.8,,3.9,1.2,,,,,,,,
Italy,2007,6.1,,2,1.5,,,,,,,,
Italy,2008,6.8,4.8,3.5,-1.2,,,,,,,,
Italy,2009,7.8,4.3,0.8,-5.5,,,,,,,,
Italy,2010,8.4,3.9,1.6,1.8,,,,,,,,
Italy,2011,8.4,3.9,2.9,0.6,,,,,,,,
Italy,2012,10.6,4.2,3.2,-2.2,,,,,,,,
Italy,2013,11.4,,1.9,-1,,,,,,,,
Italy,2014,11.8,,0.9,0.6,,,,,,,,
Luxembourg,2007,4.2,,2.7,6.6,,,,,,,,
Luxembourg,2008,4.1,8.3,4.1,-0.8,,,,,,,,
Luxembourg,2009,5.4,8.2,0,-4.1,,,,,,,,
Luxembourg,2010,5.8,8.5,2.8,2.9,,,,,,,,
Luxembourg,2011,5.6,8.5,3.7,1.7,,,,,,,,
Luxembourg,2012,6.1,8.0,2.8,0.6,,,,,,,,
Luxembourg,2013,6.6,,2,1.2,,,,,,,,
Luxembourg,2014,6.7,,1.9,2,,,,,,,,
Netherlands,2007,3.5,,1.6,3.9,,,,,,,,
Netherlands,2008,3,8.9,2.2,1.8,,,,,,,,
Netherlands,2009,3.7,8.9,1,-3.7,,,,,,,,
Netherlands,2010,4.4,8.8,0.9,1.6,,,,,,,,
Netherlands,2011,4.3,8.9,2.5,1.1,,,,,,,,
Netherlands,2012,5.2,8.4,2.8,-0.9,,,,,,,,
Netherlands,2013,5.8,,2.4,0.2,,,,,,,,
Netherlands,2014,6.1,,1.4,1.5,,,,,,,,
Poland,2007,9.6,,2.4,6.8,,,,,,,,
Poland,2008,7.1,4.6,4.2,5,,,,,,,,
Poland,2009,8.2,5.0,3.8,1.7,,,,,,,,
Poland,2010,9.6,5.3,2.6,3.9,,,,,,,,
Poland,2011,9.6,5.5,4.2,4.3,,,,,,,,
Poland,2012,10.1,5.8,3.6,2.5,,,,,,,,
Poland,2013,10.5,,2.1,1.6,,,,,,,,
Poland,2014,10.7,,2.1,2.5,,,,,,,,
Portugal,2007,8,,2.4,2.4,,,,,,,,
Portugal,2008,7.6,6.1,2.7,0,,,,,,,,
Portugal,2009,9.5,5.8,-0.9,-2.9,,,,,,,,
Portugal,2010,10.8,6.0,1.4,1.4,,,,,,,,
Portugal,2011,12.7,6.1,3.6,-1.7,,,,,,,,
Portugal,2012,15.5,6.3,2.7,-3.1,,,,,,,,
Portugal,2013,16.9,,0.8,-1.8,,,,,,,,
Portugal,2014,16.6,,1,0.9,,,,,,,,
Spain,2007,8.3,,2.8,3.5,,,,,,,,
Spain,2008,11.3,6.5,4.1,0.9,,,,,,,,
Spain,2009,18,6.1,-0.2,-3.7,,,,,,,,
Spain,2010,20.1,6.1,2,-0.3,,,,,,,,
Spain,2011,21.6,6.2,3.1,0.4,,,,,,,,
Spain,2012,25,6.5,2.2,-1.3,,,,,,,,
Spain,2013,26.9,,1.2,-1.4,,,,,,,,
Spain,2014,26.8,,0.4,0.5,,,,,,,,
Sweden,2007,6.1,,2.2,3.4,,,,,,,,
Sweden,2008,6.2,9.3,3.4,-0.8,,,,,,,,
Sweden,2009,8.3,9.2,-0.5,-5,,,,,,,,
Sweden,2010,8.4,9.2,1.2,6.3,,,,,,,,
Sweden,2011,7.5,9.3,3,3.9,,,,,,,,
Sweden,2012,7.7,8.8,1,1.2,,,,,,,,
Sweden,2013,7.9,,0.9,1.9,,,,,,,,
Sweden,2014,7.6,,1.7,3,,,,,,,,
Switzerland,2007,3.6,,0.7,3.8,,,,,,,,
Switzerland,2008,3.3,9.0,2.4,2.2,,,,,,,,
Switzerland,2009,4.3,9.0,-0.5,-1.9,,,,,,,,
Switzerland,2010,4.4,8.7,0.7,3,,,,,,,,
Switzerland,2011,3.9,8.8,0.2,1.9,,,,,,,,
Switzerland,2012,3.9,8.6,-0.6,0.8,,,,,,,,
Switzerland,2013,4.1,,0.1,1.1,,,,,,,,
Switzerland,2014,4,,0.2,2.3,,,,,,,,
United Kingdom,2007,5.4,,2.3,3.6,,,,,,,,
United Kingdom,2008,5.7,7.7,3.6,-1,,,,,,,,
United Kingdom,2009,7.6,7.7,2.2,-4,,,,,,,,
United Kingdom,2010,7.9,7.6,3.3,1.8,,,,,,,,
United Kingdom,2011,8.1,7.8,4.5,0.9,,,,,,,,
United Kingdom,2012,8,7.4,2.6,-0.1,,,,,,,,
United Kingdom,2013,8.3,,1.9,0.9,,,,,,,,
United Kingdom,2014,8,,1.8,1.6,,,,,,,,
